馬名,日付,場,馬場種別,距離,着順,人気,頭数,タイム,補正タイム,時計指数,上がり3F
マイネルトゥルネー,2023-08-06,新潟,芝,1600,5,11,11,94.9,96.25,43.5,34.2
ウインアリス,2023-08-06,新潟,芝,1600,6,6,11,94.9,96.25,43.5,33.9
ピストンボーイ,2023-08-06,新潟,芝,1600,7,4,11,95.0,96.35,43.0,34.6
イサチルイトムスビ,2023-08-06,新潟,芝,1600,8,10,11,95.2,96.55,41.9,34.2
トーセンブレンダ,2023-08-06,新潟,芝,1600,9,9,11,95.5,96.85,40.4,34.2
ミルタンドレス,2023-08-06,新潟,芝,1600,10,7,11,95.5,96.85,40.4,35.3
スナークサファイア,2023-08-06,新潟,芝,1600,11,5,11,95.6,96.95,39.8,35.5
カレンチャンキー,2023-08-06,新潟,ダ,1200,1,1,15,71.5,73.05,48.3,37.3
メイショウホウセン,2023-08-06,新潟,ダ,1200,2,6,15,71.7,73.25,46.9,36.3
レインメーカー,2023-08-06,新潟,ダ,1200,3,8,15,72.0,73.55,44.8,36.8
ボタニカルガーデン,2023-08-06,新潟,ダ,1200,4,2,15,72.0,73.55,44.8,37.0
ホッコーアリス,2023-08-06,新潟,ダ,1200,5,7,15,72.2,73.75,43.4,37.9
コトヴィア,2023-08-06,新潟,ダ,1200,6,3,15,72.3,73.85,42.7,37.2
アルティジャナーレ,2023-08-06,新潟,ダ,1200,7,5,15,72.4,73.95,42.1,38.0
レジェンダリーデイ,2023-08-06,新潟,ダ,1200,8,9,15,73.0,74.55,37.9,36.5
タノムデホンマ,2023-08-06,新潟,ダ,1200,9,4,15,73.1,74.65,37.2,38.4
マルティネーテ,2023-08-06,新潟,ダ,1200,10,15,15,73.2,74.75,36.5,37.6
ミフネ,2023-08-06,新潟,ダ,1200,11,10,15,73.4,74.95,35.1,38.2
イザベラフジン,2023-08-06,新潟,ダ,1200,12,13,15,74.8,76.35,25.5,40.1
グレートゴールド,2023-08-06,新潟,ダ,1200,13,14,15,75.8,77.35,18.6,37.6
マケン,2023-08-06,新潟,ダ,1200,14,11,15,76.0,77.55,17.2,40.8
クラマテング,2023-08-06,新潟,ダ,1200,15,12,15,76.1,77.65,16.5,37.7
デッドリー,2023-08-06,新潟,芝,2000,1,1,18,118.9,120.25,55.9,36.0
コパノサントス,2023-08-06,新潟,芝,2000,2,3,18,119.2,120.55,54.4,36.5
タガノフリューゲル,2023-08-06,新潟,芝,2000,3,2,18,119.4,120.75,53.3,36.4
ドゥヴァンスマン,2023-08-06,新潟,芝,2000,4,4,18,119.5,120.85,52.8,35.9
コステロアスール,2023-08-06,新潟,芝,2000,5,5,18,119.5,120.85,52.8,36.3
アクトゥールキネマ,2023-08-06,新潟,芝,2000,6,7,18,119.9,121.25,50.8,36.7
モズマスターピース,2023-08-06,新潟,芝,2000,7,10,18,120.3,121.65,48.7,36.4
リヴァーレ,2023-08-06,新潟,芝,2000,8,11,18,120.5,121.85,47.7,37.1
ペネトレイトゴー,2023-08-06,新潟,芝,2000,9,8,18,120.6,121.95,47.2,36.0
ステラメテオール,2023-08-06,新潟,芝,2000,10,14,18,120.6,121.95,47.2,36.5
キタイノオノコ,2023-08-06,新潟,芝,2000,11,17,18,120.8,122.15,46.2,37.1
ワイウン,2023-08-06,新潟,芝,2000,12,15,18,120.9,122.25,45.6,36.3
パララヴィクトリア,2023-08-06,新潟,芝,2000,13,16,18,120.9,122.25,45.6,36.5
アグネスアース,2023-08-06,新潟,芝,2000,14,6,18,121.8,123.15,41.0,38.9
ヴィナクローナ,2023-08-06,新潟,芝,2000,15,9,18,121.9,123.25,40.5,39.2
オストファーレン,2023-08-06,新潟,芝,2000,16,12,18,122.1,123.45,39.5,37.7
ヤマニントナーダ,2023-08-06,新潟,芝,2000,17,13,18,122.6,123.95,36.9,38.9
ヤマカツダーリン,2023-08-06,新潟,芝,2000,18,18,18,124.3,125.65,28.2,39.6
クリーンエア,2023-08-06,新潟,芝,1600,1,8,10,95.7,97.05,39.3,33.8
ナファロア,2023-08-06,新潟,芝,1600,2,4,10,95.8,97.15,38.8,33.9
ニックオブタイム,2023-08-06,新潟,芝,1600,3,2,10,96.0,97.35,37.8,34.1
ローザサンリヴァル,2023-08-06,新潟,芝,1600,4,1,10,96.0,97.35,37.8,33.9
レッドレナート,2023-08-06,新潟,芝,1600,5,6,10,96.1,97.45,37.2,34.5
ロードリレーション,2023-08-06,新潟,芝,1600,6,7,10,96.5,97.85,35.2,34.9
ブリックバーン,2023-08-06,新潟,芝,1600,7,3,10,96.5,97.85,35.2,34.4
アエロプラニーノ,2023-08-06,新潟,芝,1600,8,9,10,97.1,98.45,32.0,35.0
アサギリ,2023-08-06,新潟,芝,1600,9,5,10,97.3,98.65,31.0,35.6
アーススピリット,2023-08-06,新潟,芝,1600,10,10,10,99.6,100.95,19.0,36.6
ライジンマル,2023-08-06,新潟,ダ,1800,1,2,14,114.8,116.35,43.8,38.0
アリエスキング,2023-08-06,新潟,ダ,1800,2,3,14,116.1,117.65,38.5,38.9
フィリップ,2023-08-06,新潟,ダ,1800,3,5,14,116.2,117.75,38.1,39.4
マイネルスピカ,2023-08-06,新潟,ダ,1800,4,7,14,116.7,118.25,36.1,39.8
アクセルインバイオ,2023-08-06,新潟,ダ,1800,5,6,14,116.7,118.25,36.1,38.5
ナミダノキス,2023-08-06,新潟,ダ,1800,6,12,14,117.0,118.55,34.9,39.3
ローゼンナイツ,2023-08-06,新潟,ダ,1800,7,1,14,117.6,119.15,32.5,40.4
マイネルエタナ,2023-08-06,新潟,ダ,1800,8,11,14,117.7,119.25,32.1,40.1
ハッピーイメージ,2023-08-06,新潟,ダ,1800,9,9,14,119.0,120.55,26.8,39.9
イムナラムール,2023-08-06,新潟,ダ,1800,10,8,14,119.7,121.25,24.0,41.2
クイーンズアームス,2023-08-06,新潟,ダ,1800,11,14,14,120.7,122.25,20.0,40.1
オーシンハーフ,2023-08-06,新潟,ダ,1800,12,4,14,120.7,122.25,20.0,40.1
レトロタイプ,2023-08-06,新潟,ダ,1800,13,13,14,121.0,122.55,18.8,39.8
ミスヨシゼン,2023-08-06,新潟,ダ,1800,14,10,14,121.9,123.45,15.2,43.3
マコトヴェリーキー,2023-08-06,新潟,芝,2200,1,2,16,131.7,133.05,56.5,35.3
ジェモロジー,2023-08-06,新潟,芝,2200,2,1,16,131.8,133.15,56.1,35.5
ホウオウスーペリア,2023-08-06,新潟,芝,2200,3,3,16,132.0,133.35,55.2,35.5
アスクヴィヴァユー,2023-08-06,新潟,芝,2200,4,4,16,132.3,133.65,53.8,35.6
ピンキープロミス,2023-08-06,新潟,芝,2200,5,10,16,132.3,133.65,53.8,35.6
ニシノプロポーズ,2023-08-06,新潟,芝,2200,6,5,16,132.4,133.75,53.4,35.4
ケイアイサンデラ,2023-08-06,新潟,芝,2200,7,8,16,132.5,133.85,52.9,35.2
コイニョウボウ,2023-08-06,新潟,芝,2200,8,6,16,132.5,133.85,52.9,35.5
ハナビマンカイ,2023-08-06,新潟,芝,2200,9,13,16,132.7,134.05,52.0,35.3
ペリプルス,2023-08-06,新潟,芝,2200,10,12,16,132.7,134.05,52.0,35.5
イヴニングスター,2023-08-06,新潟,芝,2200,11,11,16,132.8,134.15,51.6,36.4
オウケンムーンアイ,2023-08-06,新潟,芝,2200,12,15,16,133.0,134.35,50.7,36.0
アマートカヴァロ,2023-08-06,新潟,芝,2200,13,14,16,133.0,134.35,50.7,35.7
セルケト,2023-08-06,新潟,芝,2200,14,7,16,134.2,135.55,45.3,38.0
ミナモトフェイス,2023-08-06,新潟,芝,2200,15,9,16,134.9,136.25,42.1,38.3
パラティーノヒル,2023-08-06,新潟,芝,2200,16,16,16,136.3,137.65,35.8,40.1
コラソンビート,2023-08-06,新潟,芝,1400,1,1,8,81.2,82.55,46.9,34.0
アトロルーベンス,2023-08-06,新潟,芝,1400,2,2,8,81.4,82.75,45.5,34.7
マスクオールウィン,2023-08-06,新潟,芝,1400,3,4,8,81.5,82.85,44.9,34.5
ニシノオウジョ,2023-08-06,新潟,芝,1400,4,6,8,82.4,83.75,38.7,35.9
ハッピーサプライズ,2023-08-06,新潟,芝,1400,5,5,8,83.1,84.45,33.9,35.4
ジュントネフ,2023-08-06,新潟,芝,1400,6,3,8,83.2,84.55,33.2,36.1
クラート,2023-08-06,新潟,芝,1400,7,8,8,84.0,85.35,27.7,35.8
マジックオブラブ,2023-08-06,新潟,芝,1400,8,7,8,84.1,85.45,27.1,37.1
レッドバロッサ,2023-08-06,新潟,ダ,1800,1,4,14,113.0,114.55,51.0,36.6
フェルヴェンテ,2023-08-06,新潟,ダ,1800,2,1,14,113.0,114.55,51.0,36.3
ヤマニンエンディマ,2023-08-06,新潟,ダ,1800,3,3,14,113.4,114.95,49.4,36.9
タマモバンケット,2023-08-06,新潟,ダ,1800,4,7,14,113.5,115.05,49.0,36.9
レッドプロフェシー,2023-08-06,新潟,ダ,1800,5,2,14,113.9,115.45,47.4,36.9
コンソレーション,2023-08-06,新潟,ダ,1800,6,5,14,113.9,115.45,47.4,36.7
サウザンドスマイル,2023-08-06,新潟,ダ,1800,7,10,14,113.9,115.45,47.4,36.6
ダノンターキッシュ,2023-08-06,新潟,ダ,1800,8,11,14,114.1,115.65,46.6,36.7
インペラートル,2023-08-06,新潟,ダ,1800,9,12,14,114.5,116.05,45.0,36.8
ジョーコモド,2023-08-06,新潟,ダ,1800,10,9,14,114.7,116.25,44.2,37.7
スズカワールド,2023-08-06,新潟,ダ,1800,11,14,14,114.7,116.25,44.2,37.8
ハナキリ,2023-08-06,新潟,ダ,1800,12,8,14,114.8,116.35,43.8,38.2
スナークレジスト,2023-08-06,新潟,ダ,1800,13,13,14,115.5,117.05,40.9,38.1
ロードレイライン,2023-08-06,新潟,ダ,1800,14,6,14,115.8,117.35,39.7,39.5
トレンディスター,2023-08-06,新潟,芝,1000,1,1,17,54.3,55.65,54.1,32.6
バオバブスピリット,2023-08-06,新潟,芝,1000,2,6,17,54.7,56.05,50.5,32.9
ステラダイヤ,2023-08-06,新潟,芝,1000,3,8,17,54.7,56.05,50.5,32.8
エスジープリンセス,2023-08-06,新潟,芝,1000,4,5,17,54.9,56.25,48.6,32.1
ボンクラージュ,2023-08-06,新潟,芝,1000,5,7,17,54.9,56.25,48.6,32.7
フチサンメルチャン,2023-08-06,新潟,芝,1000,6,11,17,54.9,56.25,48.6,32.8
ディアナグラン,2023-08-06,新潟,芝,1000,7,4,17,55.0,56.35,47.7,33.3
カジュフェイス,2023-08-06,新潟,芝,1000,8,3,17,55.1,56.45,46.8,33.1
ルルルージュ,2023-08-06,新潟,芝,1000,9,9,17,55.1,56.45,46.8,32.1
セイラブミー,2023-08-06,新潟,芝,1000,10,14,17,55.2,56.55,45.9,33.0
アジアノジュンシン,2023-08-06,新潟,芝,1000,11,10,17,55.3,56.65,45.0,32.6
ダレモトメラレナイ,2023-08-06,新潟,芝,1000,12,2,17,55.3,56.65,45.0,33.3
ミキノバスドラム,2023-08-06,新潟,芝,1000,13,16,17,55.4,56.75,44.1,33.1
モテモテ,2023-08-06,新潟,芝,1000,14,12,17,55.4,56.75,44.1,33.6
ボルタドマール,2023-08-06,新潟,芝,1000,15,15,17,55.4,56.75,44.1,32.4
ティフォーザ,2023-08-06,新潟,芝,1000,16,17,17,55.6,56.95,42.3,33.5
オリエンタルキング,2023-08-06,新潟,芝,1000,17,13,17,55.8,57.15,40.5,33.1
ライオットガール,2023-08-06,新潟,ダ,1800,1,5,15,110.8,112.35,59.9,37.3
オメガギネス,2023-08-06,新潟,ダ,1800,2,3,15,110.8,112.35,59.9,37.1
ルクスフロンティア,2023-08-06,新潟,ダ,1800,3,8,15,110.9,112.45,59.5,37.7
エクロジャイト,2023-08-06,新潟,ダ,1800,4,2,15,111.8,113.35,55.8,38.2
マオノアラシ,2023-08-06,新潟,ダ,1800,5,13,15,111.9,113.45,55.4,38.0
マテンロウガイ,2023-08-06,新潟,ダ,1800,6,14,15,112.0,113.55,55.0,37.7
ツウカイリアル,2023-08-06,新潟,ダ,1800,7,12,15,112.0,113.55,55.0,37.9
クレメダンジュ,2023-08-06,新潟,ダ,1800,8,9,15,112.3,113.85,53.8,38.4
リバートゥルー,2023-08-06,新潟,ダ,1800,9,11,15,112.4,113.95,53.4,37.2
クールミラボー,2023-08-06,新潟,ダ,1800,10,4,15,112.6,114.15,52.6,37.9
ベンダバリラビア,2023-08-06,新潟,ダ,1800,11,15,15,113.1,114.65,50.6,38.6
ソッコータルマカ,2023-08-06,新潟,ダ,1800,12,7,15,113.4,114.95,49.4,39.3
ハッスルダンク,2023-08-06,新潟,ダ,1800,13,10,15,113.7,115.25,48.2,40.0
ミスティックロア,2023-08-06,新潟,ダ,1800,14,1,15,114.3,115.85,45.8,39.9
パクスオトマニカ,2023-08-06,新潟,ダ,1800,15,6,15,117.1,118.65,34.5,42.4
アイオブザストーム,2023-08-06,新潟,芝,1600,1,1,18,92.7,94.05,54.9,33.5
ニホンピロキーフ,2023-08-06,新潟,芝,1600,2,4,18,92.9,94.25,53.9,33.9
パルティクラール,2023-08-06,新潟,芝,1600,3,5,18,93.0,94.35,53.4,33.8
ヴィアルーチェ,2023-08-06,新潟,芝,1600,4,8,18,93.1,94.45,52.9,33.2
テイエムエメラルド,2023-08-06,新潟,芝,1600,5,12,18,93.3,94.65,51.8,34.5
ベガリス,2023-08-06,新潟,芝,1600,6,9,18,93.3,94.65,51.8,33.8
ロードリライアブル,2023-08-06,新潟,芝,1600,7,11,18,93.4,94.75,51.3,33.3
ロードラプソディ,2023-08-06,新潟,芝,1600,8,18,18,93.4,94.75,51.3,33.8
サトノスカイターフ,2023-08-06,新潟,芝,1600,9,3,18,93.6,94.95,50.3,33.3
モメントグスタール,2023-08-06,新潟,芝,1600,9,15,18,93.6,94.95,50.3,34.0
テンカノギジン,2023-08-06,新潟,芝,1600,11,7,18,93.8,95.15,49.2,33.6
イスラグランデ,2023-08-06,新潟,芝,1600,12,14,18,93.8,95.15,49.2,34.8
ミント,2023-08-06,新潟,芝,1600,13,16,18,93.9,95.25,48.7,33.2
アパショナード,2023-08-06,新潟,芝,1600,14,10,18,93.9,95.25,48.7,35.3
セイウンシリウス,2023-08-06,新潟,芝,1600,15,6,18,94.6,95.95,45.1,35.6
ツキニホエル,2023-08-06,新潟,芝,1600,16,17,18,94.7,96.05,44.5,35.3
ラコンタール,2023-08-06,新潟,芝,1600,17,13,18,95.6,96.95,39.8,36.5
テンノメッセージ,2023-08-06,新潟,芝,1600,18,2,18,96.1,97.45,37.2,36.1
レイトカンセイオー,2023-08-06,札幌,芝,1800,1,2,11,111.5,110.35,45.1,36.0
ウインシュクラン,2023-08-06,札幌,芝,1800,2,6,11,111.6,110.45,44.6,36.4
キミノナハマリア,2023-08-06,札幌,芝,1800,3,1,11,111.6,110.45,44.6,36.2
バールデュヴァン,2023-08-06,札幌,芝,1800,4,5,11,112.1,110.95,42.2,36.2
ヤマニンループ,2023-08-06,札幌,芝,1800,5,3,11,112.2,111.05,41.7,35.6
アトミカ,2023-08-06,札幌,芝,1800,6,8,11,112.3,111.15,41.2,36.5
オオキニ,2023-08-06,札幌,芝,1800,7,4,11,112.3,111.15,41.2,36.7
レディベル,2023-08-06,札幌,芝,1800,8,7,11,112.4,111.25,40.7,36.4
ソールズベリー,2023-08-06,札幌,芝,1800,9,10,11,112.9,111.75,38.3,37.6
ヒデノレインボー,2023-08-06,札幌,芝,1800,10,9,11,113.7,112.55,34.4,37.7
アメリカンエール,2023-08-06,札幌,芝,1800,11,11,11,114.5,113.35,30.5,38.8
シャークスポット,2023-08-06,札幌,芝,1200,1,6,11,70.7,69.55,50.0,35.9
テーオースパロー,2023-08-06,札幌,芝,1200,2,7,11,70.8,69.65,49.2,36.0
アンビバレント,2023-08-06,札幌,芝,1200,3,2,11,70.8,69.65,49.2,36.7
クールムーア,2023-08-06,札幌,芝,1200,4,5,11,70.9,69.75,48.4,36.7
ジャガード,2023-08-06,札幌,芝,1200,5,10,11,71.1,69.95,46.8,35.9
アスクエピソード,2023-08-06,札幌,芝,1200,6,1,11,71.1,69.95,46.8,36.5
ガリレイ,2023-08-06,札幌,芝,1200,7,8,11,71.3,70.15,45.2,36.2
トーセンサンダー,2023-08-06,札幌,芝,1200,8,4,11,71.5,70.35,43.6,36.6
ヴィアドロローサ,2023-08-06,札幌,芝,1200,9,3,11,71.7,70.55,42.0,37.1
マサカウマザンマイ,2023-08-06,札幌,芝,1200,10,11,11,72.0,70.85,39.7,36.2
ルヴェルジェ,2023-08-06,札幌,芝,1200,11,9,11,74.1,72.95,22.9,39.5
セキフウ,2023-08-06,札幌,ダ,1700,1,6,14,102.8,102.80,72.6,35.5
ワールドタキオン,2023-08-06,札幌,ダ,1700,2,4,14,102.9,102.90,72.0,36.3
ロッシュローブ,2023-08-06,札幌,ダ,1700,3,10,14,103.3,103.30,69.7,36.4
ルコルセール,2023-08-06,札幌,ダ,1700,4,5,14,103.3,103.30,69.7,36.5
シルトプレ,2023-08-06,札幌,ダ,1700,5,13,14,103.4,103.40,69.1,36.1
カフジオクタゴン,2023-08-06,札幌,ダ,1700,6,9,14,103.5,103.50,68.6,36.6
アシャカトブ,2023-08-06,札幌,ダ,1700,7,7,14,103.6,103.60,68.0,37.0
ペイシャエス,2023-08-06,札幌,ダ,1700,8,8,14,103.8,103.80,66.8,36.8
タイセイサムソン,2023-08-06,札幌,ダ,1700,9,2,14,104.3,104.30,63.9,37.8
ベレヌス,2023-08-06,札幌,ダ,1700,10,12,14,104.5,104.50,62.8,37.2
ロードブレス,2023-08-06,札幌,ダ,1700,11,11,14,104.5,104.50,62.8,36.3
オーソリティ,2023-08-06,札幌,ダ,1700,12,3,14,105.0,105.00,59.9,38.2
ペプチドナイル,2023-08-06,札幌,ダ,1700,13,1,14,105.0,105.00,59.9,38.2
ファルコニア,2023-08-06,札幌,ダ,1700,14,14,14,105.5,105.50,57.0,38.5
タリア,2023-08-06,札幌,芝,1200,1,6,16,70.7,69.55,50.0,36.2
コーリングユー,2023-08-06,札幌,芝,1200,2,1,16,71.1,69.95,46.8,35.2
ホウオウエンジェル,2023-08-06,札幌,芝,1200,3,8,16,71.2,70.05,46.0,36.1
イイヒニナル,2023-08-06,札幌,芝,1200,4,10,16,71.2,70.05,46.0,36.4
ピースフルナイト,2023-08-06,札幌,芝,1200,5,7,16,71.2,70.05,46.0,36.0
シルバーダイヤ,2023-08-06,札幌,芝,1200,6,12,16,71.4,70.25,44.4,36.5
メリオルヴィータ,2023-08-06,札幌,芝,1200,7,9,16,71.4,70.25,44.4,35.7
ネイキッドハート,2023-08-06,札幌,芝,1200,8,11,16,71.6,70.45,42.8,36.1
ランフリーバンクス,2023-08-06,札幌,芝,1200,9,2,16,71.6,70.45,42.8,35.2
キャニオニング,2023-08-06,札幌,芝,1200,10,5,16,71.6,70.45,42.8,34.9
ダブルスナッチ,2023-08-06,札幌,芝,1200,11,3,16,71.7,70.55,42.0,35.2
クリノリアルレディ,2023-08-06,札幌,芝,1200,12,4,16,71.9,70.75,40.4,36.9
プラティナマリア,2023-08-06,札幌,芝,1200,13,16,16,72.1,70.95,38.9,36.7
ワイアウ,2023-08-06,札幌,芝,1200,14,14,16,72.3,71.15,37.3,36.6
アイヲツグモノ,2023-08-06,札幌,芝,1200,15,13,16,72.4,71.25,36.5,36.7
クリノエンジェル,2023-08-06,札幌,芝,1200,16,15,16,72.7,71.55,34.1,36.5
マイネルメモリー,2023-08-12,小倉,芝,1800,1,7,16,105.6,107.30,59.2,34.6
サクセスドレーク,2023-08-12,小倉,芝,1800,2,6,16,105.8,107.50,58.1,35.1
アリスヴェリテ,2023-08-12,小倉,芝,1800,3,2,16,106.3,108.00,55.2,36.0
フラリオナ,2023-08-12,小倉,芝,1800,4,13,16,106.3,108.00,55.2,35.3
ポルカリズム,2023-08-12,小倉,芝,1800,5,1,16,106.4,108.10,54.6,36.4
ベレザニーニャ,2023-08-12,小倉,芝,1800,6,8,16,106.8,108.50,52.3,36.4
シュタールヴィント,2023-08-12,小倉,芝,1800,7,3,16,106.9,108.60,51.7,36.3
エクロール,2023-08-12,小倉,芝,1800,8,12,16,107.5,109.20,48.3,36.7
サンライズプルート,2023-08-12,小倉,芝,1800,9,5,16,107.5,109.20,48.3,37.4
シルヴァーデューク,2023-08-12,小倉,芝,1800,10,4,16,107.7,109.40,47.1,37.2
ゾロ,2023-08-12,小倉,芝,1800,11,15,16,107.8,109.50,46.5,36.5
トーアライデン,2023-08-12,小倉,芝,1800,12,9,16,107.8,109.50,46.5,37.5
シブースト,2023-08-12,小倉,芝,1800,13,14,16,108.3,110.00,43.7,37.6
ステラメテオール,2023-08-12,小倉,芝,1800,14,16,16,108.4,110.10,43.1,37.2
マイネルカーライル,2023-08-12,小倉,芝,1800,15,10,16,108.5,110.20,42.5,38.4
ビレッジスター,2023-08-12,小倉,芝,1800,16,11,16,109.3,111.00,37.9,38.7
ウィズユアドリーム,2023-08-12,小倉,芝,2000,1,3,10,119.9,121.60,50.0,34.0
セブンマジシャン,2023-08-12,小倉,芝,2000,2,1,10,120.0,121.70,49.5,33.5
ファベル,2023-08-12,小倉,芝,2000,3,2,10,120.2,121.90,48.5,34.2
ブレイヴロッカー,2023-08-12,小倉,芝,2000,4,4,10,120.3,122.00,48.0,34.0
エヴィダンシア,2023-08-12,小倉,芝,2000,5,7,10,120.3,122.00,48.0,34.1
ウインミニヨン,2023-08-12,小倉,芝,2000,6,5,10,120.7,122.40,46.0,34.3
セグレドスペリオル,2023-08-12,小倉,芝,2000,7,9,10,120.9,122.60,45.0,34.1
テーオーソロス,2023-08-12,小倉,芝,2000,8,8,10,120.9,122.60,45.0,34.2
カイザー,2023-08-12,小倉,芝,2000,9,6,10,120.9,122.60,45.0,34.5
カサデガ,2023-08-12,小倉,芝,2000,10,10,10,121.8,123.50,40.5,34.8
キングズソード,2023-08-12,小倉,ダ,1700,1,1,16,102.0,102.00,71.8,36.3
スレイマン,2023-08-12,小倉,ダ,1700,2,9,16,102.2,102.20,70.6,36.9
ダンツキャッスル,2023-08-12,小倉,ダ,1700,3,16,16,102.3,102.30,70.0,36.2
ブラックアーメット,2023-08-12,小倉,ダ,1700,4,8,16,102.3,102.30,70.0,35.6
アラジンバローズ,2023-08-12,小倉,ダ,1700,5,2,16,102.3,102.30,70.0,36.8
メイショウテンスイ,2023-08-12,小倉,ダ,1700,6,10,16,102.8,102.80,67.1,37.6
ベルダーイメル,2023-08-12,小倉,ダ,1700,7,7,16,103.0,103.00,65.9,37.5
ビヨンドザファザー,2023-08-12,小倉,ダ,1700,8,3,16,103.5,103.50,62.9,36.7
ブラッティーキッド,2023-08-12,小倉,ダ,1700,9,11,16,103.7,103.70,61.8,37.4
ウェルカムニュース,2023-08-12,小倉,ダ,1700,10,6,16,104.0,104.00,60.0,38.2
リアンクール,2023-08-12,小倉,ダ,1700,11,13,16,104.0,104.00,60.0,37.4
エマージングロール,2023-08-12,小倉,ダ,1700,12,15,16,104.2,104.20,58.8,37.3
ラヴィータエベラ,2023-08-12,小倉,ダ,1700,13,5,16,104.5,104.50,57.1,39.0
ダノンハーロック,2023-08-12,小倉,ダ,1700,14,12,16,104.5,104.50,57.1,38.0
ミステリオーソ,2023-08-12,小倉,ダ,1700,15,14,16,106.2,106.20,47.1,39.9
ブリッツファング,2023-08-12,小倉,ダ,1700,16,4,16,106.6,106.60,44.7,40.5
アンフィニドール,2023-08-12,小倉,芝,1200,1,2,18,67.7,69.40,49.2,33.4
レッドヒルシューズ,2023-08-12,小倉,芝,1200,2,8,18,67.8,69.50,48.3,34.6
ダイヤモンドフジ,2023-08-12,小倉,芝,1200,3,13,18,67.9,69.60,47.5,34.3
セレッソデアモール,2023-08-12,小倉,芝,1200,4,3,18,68.0,69.70,46.6,35.0
アキバ,2023-08-12,小倉,芝,1200,5,11,18,68.2,69.90,44.9,34.9
メイショウヒゾッコ,2023-08-12,小倉,芝,1200,6,16,18,68.3,70.00,44.1,33.8
タガノスペルノヴァ,2023-08-12,小倉,芝,1200,7,17,18,68.3,70.00,44.1,34.2
ラブリアージェ,2023-08-12,小倉,芝,1200,8,14,18,68.4,70.10,43.2,34.4
トーホウフランゴ,2023-08-12,小倉,芝,1200,9,5,18,68.6,70.30,41.5,35.1
シュガーフロート,2023-08-12,小倉,芝,1200,10,7,18,68.6,70.30,41.5,34.9
プロティオスミノル,2023-08-12,小倉,芝,1200,11,10,18,68.6,70.30,41.5,35.3
サトノグレイト,2023-08-12,小倉,芝,1200,12,9,18,68.6,70.30,41.5,34.9
フォレクラフト,2023-08-12,小倉,芝,1200,13,12,18,68.8,70.50,39.8,35.2
ニシノコウダイ,2023-08-12,小倉,芝,1200,14,6,18,68.8,70.50,39.8,34.9
オーサムサンライズ,2023-08-12,小倉,芝,1200,15,15,18,69.0,70.70,38.1,35.3
スイープラン,2023-08-12,小倉,芝,1200,16,4,18,69.2,70.90,36.4,35.7
シンプリーオーサム,2023-08-12,小倉,芝,1200,17,1,18,69.2,70.90,36.4,35.8
ファタリテ,2023-08-12,小倉,芝,1200,18,18,18,69.5,71.20,33.9,35.7
レーザーショー,2023-08-12,新潟,ダ,1200,1,1,15,72.1,73.60,44.5,36.9
ベルウッドワン,2023-08-12,新潟,ダ,1200,2,3,15,72.3,73.80,43.1,37.0
ホーリーブライト,2023-08-12,新潟,ダ,1200,3,9,15,73.5,75.00,34.8,37.7
デジタルサイオン,2023-08-12,新潟,ダ,1200,4,6,15,73.5,75.00,34.8,37.8
ペイシャローズ,2023-08-12,新潟,ダ,1200,5,5,15,73.5,75.00,34.8,37.5
ヨッコサン,2023-08-12,新潟,ダ,1200,6,8,15,73.5,75.00,34.8,38.0
ハヌル,2023-08-12,新潟,ダ,1200,7,4,15,73.5,75.00,34.8,38.0
ルッキズム,2023-08-12,新潟,ダ,1200,8,13,15,73.9,75.40,32.0,38.1
ミスファントム,2023-08-12,新潟,ダ,1200,9,2,15,74.0,75.50,31.3,38.4
イッツナッシング,2023-08-12,新潟,ダ,1200,10,7,15,74.0,75.50,31.3,37.8
コスモビオラ,2023-08-12,新潟,ダ,1200,11,11,15,74.5,76.00,27.9,38.2
キングレノン,2023-08-12,新潟,ダ,1200,12,14,15,74.5,76.00,27.9,37.3
リネンワールド,2023-08-12,新潟,ダ,1200,13,10,15,74.9,76.40,25.1,38.3
ドリームボール,2023-08-12,新潟,ダ,1200,14,15,15,75.0,76.50,24.4,38.4
サルバシオン,2023-08-12,新潟,ダ,1200,15,12,15,75.2,76.70,23.0,39.6
チェルヴィニア,2023-08-12,新潟,芝,1800,1,1,10,106.9,108.30,48.5,33.0
ローンウルフ,2023-08-12,新潟,芝,1800,2,2,10,107.9,109.30,43.7,34.2
フイノマジワリ,2023-08-12,新潟,芝,1800,3,5,10,108.2,109.60,42.2,33.3
マウリノ,2023-08-12,新潟,芝,1800,4,3,10,108.2,109.60,42.2,33.6
ナリノイングリッド,2023-08-12,新潟,芝,1800,5,6,10,108.8,110.20,39.3,34.5
スパイキーボウ,2023-08-12,新潟,芝,1800,6,7,10,109.0,110.40,38.4,34.4
アルヴィア,2023-08-12,新潟,芝,1800,7,4,10,109.0,110.40,38.4,34.8
キャッシュブリッツ,2023-08-12,新潟,芝,1800,8,10,10,109.9,111.30,34.0,34.7
ゴールドチョウサン,2023-08-12,新潟,芝,1800,9,9,10,111.3,112.70,27.2,36.1
ロックシティボーイ,2023-08-12,新潟,芝,1800,10,8,10,111.4,112.80,26.7,35.4
チュウワスプリング,2023-08-12,新潟,ダ,1200,1,4,15,71.4,72.90,49.3,37.0
フジジュンフェイス,2023-08-12,新潟,ダ,1200,2,7,15,72.3,73.80,43.1,37.4
