年,レース名,馬番,枠番,馬名,着順,距離,馬場状態,上がり3F
2016,サンプルステークス,2,2,2016年出走馬2,1,2000,良,33.3
2016,サンプルステークス,1,1,2016年出走馬1,2,2000,稍重,33.2
2016,サンプルステークス,4,4,2016年出走馬4,3,2000,良,34.7
2016,サンプルステークス,7,7,2016年出走馬7,4,2000,良,35.5
2016,サンプルステークス,6,6,2016年出走馬6,5,2000,良,35.8
2016,サンプルステークス,5,5,2016年出走馬5,6,2000,重,35.8
2016,サンプルステークス,3,3,2016年出走馬3,7,2000,重,34.8
2016,サンプルステークス,8,8,2016年出走馬8,8,2000,良,35.9
2017,サンプルステークス,1,1,2017年出走馬1,1,2000,重,34.7
2017,サンプルステークス,5,5,2017年出走馬5,2,2000,良,34.1
2017,サンプルステークス,4,4,2017年出走馬4,3,2000,重,35.1
2017,サンプルステークス,3,3,2017年出走馬3,4,2000,重,33.2
2017,サンプルステークス,6,6,2017年出走馬6,5,2000,良,34.5
2017,サンプルステークス,2,2,2017年出走馬2,6,2000,重,34.3
2017,サンプルステークス,8,8,2017年出走馬8,7,2000,良,34.4
2017,サンプルステークス,7,7,2017年出走馬7,8,2000,稍重,34.1
2018,サンプルステークス,1,1,2018年出走馬1,1,2000,重,35.9
2018,サンプルステークス,2,2,2018年出走馬2,2,2000,良,34.5
2018,サンプルステークス,4,4,2018年出走馬4,3,2000,良,35.3
2018,サンプルステークス,5,5,2018年出走馬5,4,2000,良,35.8
2018,サンプルステークス,6,6,2018年出走馬6,5,2000,稍重,33.1
2018,サンプルステークス,7,7,2018年出走馬7,6,2000,良,35.3
2018,サンプルステークス,3,3,2018年出走馬3,7,2000,重,35.4
2018,サンプルステークス,8,8,2018年出走馬8,8,2000,良,34.0
2019,サンプルステークス,1,1,2019年出走馬1,1,2000,良,34.9
2019,サンプルステークス,4,4,2019年出走馬4,2,2000,稍重,33.9
2019,サンプルステークス,5,5,2019年出走馬5,3,2000,稍重,35.7
2019,サンプルステークス,2,2,2019年出走馬2,4,2000,良,33.1
2019,サンプルステークス,6,6,2019年出走馬6,5,2000,稍重,34.1
2019,サンプルステークス,8,8,2019年出走馬8,6,2000,重,33.4
2019,サンプルステークス,3,3,2019年出走馬3,7,2000,良,33.7
2019,サンプルステークス,7,7,2019年出走馬7,8,2000,良,33.4
2020,サンプルステークス,1,1,2020年出走馬1,1,2000,重,33.8
2020,サンプルステークス,4,4,2020年出走馬4,2,2000,稍重,36.0
2020,サンプルステークス,2,2,2020年出走馬2,3,2000,稍重,35.9
2020,サンプルステークス,5,5,2020年出走馬5,4,2000,良,33.2
2020,サンプルステークス,6,6,2020年出走馬6,5,2000,良,33.7
2020,サンプルステークス,3,3,2020年出走馬3,6,2000,良,33.0
2020,サンプルステークス,4,4,サブロー,6,2000,良,33.8
2020,サンプルステークス,7,7,2020年出走馬7,7,2000,重,33.5
2020,サンプルステークス,8,8,2020年出走馬8,8,2000,良,33.0
2021,サンプルステークス,1,1,2021年出走馬1,1,2000,良,34.4
2021,サンプルステークス,2,2,2021年出走馬2,2,2000,重,34.2
2021,サンプルステークス,3,3,2021年出走馬3,3,2000,稍重,34.2
2021,サンプルステークス,6,6,2021年出走馬6,4,2000,稍重,34.9
2021,サンプルステークス,2,2,テスト太郎,4,2000,良,34.4
2021,サンプルステークス,5,5,2021年出走馬5,5,2000,良,33.6
2021,サンプルステークス,7,7,2021年出走馬7,6,2000,良,34.3
2021,サンプルステークス,4,4,2021年出走馬4,7,2000,良,34.0
2021,サンプルステークス,8,8,2021年出走馬8,8,2000,良,33.3
2022,サンプルステークス,5,5,2022年出走馬5,1,2000,良,34.8
2022,サンプルステークス,1,1,2022年出走馬1,2,2000,稍重,33.4
2022,サンプルステークス,1,1,テスト太郎,2,2000,良,33.7
2022,サンプルステークス,2,2,2022年出走馬2,3,2000,稍重,36.0
